Province/Region/City,Confirmed Cases
Hubei,9074
Zhejiang,661
Guangdong,604
Henan,493
Hunan,463
Anhui,340
Jiangxi,333
Chongqing,262
Sichuan,236
Jiangsu,231
Shandong,225
Beijing,183
Shanghai,177
Fujian,159
Shaanxi,116
Guangxi,111
Hebei,104
Yunnan,99
Heilongjiang,95
Liaoning,64
Hainan,63
Shanxi,56
Gansu,45
Tianjin,40
Guizhou,38
Ningxia,28
Inner Mongolia,26
Xinjiang,23
Jilin,21
Hong Kong SAR,14
Taipei,10
Qinghai,9
Macau SAR,7
Xizang,1
Total,14411
WHO Regional Office,Country/Territory/Area,Confirmed Cases
"",,
"",China*,14411
"",,
"",Japan,20
"",,
"",Republic of Korea,15
"",,
"",,
"",Viet Nam,7
"",,
"",Singapore,18
"",,
"",Australia,12
"",,
"",Malaysia,8
"",,
"",Cambodia,1
"",,
"",Philippines,2
"",,
"",Thailand,19
"",,
"",Nepal,1
South-East Asia,,
"",,
"",Sri Lanka,1
"",,
"",India,2
"",,
"",United States of America,8
Region of the Americas,,
"",,
"",Canada,4
"",,
"",France,6
"",,
"",Finland,1
"",,
"",Germany,8
"",,
"",Italy,2
European Region,,
"",,
"",Russian Federation,2
"",,
"",Spain,1
"",,
"",Sweden,1
"",,
"",United Kingdom,2
"",,
Eastern Mediterranean,United Arab Emirates,5
"",,
Total Confirmed cases,Total,14557
