"",Province/Region/City,,,Confirmed Cases,
"",Hubei,,,27 100,
Guangdong,1120,,,,
"",Zhejiang,,,1075,
Henan,1033,,,,
"",Hunan,,,838,
Anhui,779,,,,
"",Jiangxi,,,740,
Jiangsu,468,,,,
"",Chongqing,,,446,
Shandong,435,,,,
"",Sichuan,,,386,
Beijing,326,,,,
"",Heilongjiang,,,307,
Shanghai,292,,,,
"",Fujian,,,250,
Shaanxi,208,,,,
"",Hebei,,,206,
Guangxi,195,,,,
"",Yunnan,,,140,
Hainan,128,,,,
"",Shanxi,,,115,
Liaoning,105,,,,
"",Guizhou,,,96,
Tianjin,88,,,,
"",Gansu,,,81,
Jilin,78,,,,
"",Inner Mongolia,,,54,
Ningxia,45,,,,
"",Xinjiang,,,45,
Hong Kong SAR,26,,,,
"",Qinghai,,,18,
Taipei and environs,17,,,,
"",Macao SAR,,,10,
Xizang,1,,,,
"",Total,,,37 251,
"",,,Total,,,
"",,,Total (new) cases,Total (new),,
"",,(new),,,,
"",,,with    possible,cases with site,,
"",Confirmed*,cases with,Total (new),,,
WHO Region,Country/Territory/Area,or confirmed,of transmission,,,
"",(new) cases,travel,deaths,,,
"",,transmission,under,,,
"",,history to,,,,
"",,,outside of China†,investigation,,
"",,China,,,,
"",,,,,,
"",China‡,37 251 (2657),,,,812 (89)
"",Singapore,40 (7),21 (0),19 (7),0 (0),0 (0)
Western Pacific Region,,,,,,
"",Republic of Korea,27 (3),13 (2),12 (1),2 (0),0 (0)
"",,,,,,
"",Japan,26 (1),22 (1),4 (0),0 (0),
"",0 (0),,,,,
"",Malaysia,17 (2),9 (0),4 (0),4 (2),0 (0)
"",Australia,15 (0),15 (0),0 (0),0 (0),0 (0)
"",,,,,,
"",Viet Nam,14 (1),8 (0),6 (1),0 (0),0 (0)
"",,,,,,
"",Philippines,3 (0),2 (0),0 (0),1 (0),1 (0)
"",,,,,,
"",Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0)
"",Thailand,32 (0),22 (0),6 (0),4 (0),0 (0)
"",India,3 (0),3 (0),0 (0),0 (0),0 (0)
South-East Asia Region,,,,,,
"",Nepal,1 (0),1 (0),0 (0),0 (0),0 (0)
"",,,,,,
"",Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0)
"","United States ofAmerica",12 (0),10 (0),2 (0),0 (0),
Region of the Americas,0 (0),,,,,
"",Canada,7 (0),6 (0),0 (0),1 (0),0 (0)
"",Germany,14 (0),2 (0),12†† (0),0 (0),0 (0)
"",France,11 (5),5 (0),6 (5),0 (0),0 (0)
"",Italy,3 (0),3 (0),0 (0),0 (0),0 (0)
"",The United Kingdom,3 (0),1 (0),2*** (0),0 (0),0 (0)
European Region,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0)
"",Belgium,1 (0),1 (0),0 (0),0 (0),0 (0)
"",Finland,1 (0),1 (0),0 (0),0 (0),0 (0)
"",Spain,1 (0),0 (0),1§ (0),0 (0),0 (0)
"",Sweden,1 (0),1 (0),0 (0),0 (0),0 (0)
Eastern Mediterranean,United Arab Emirates,7 (0),5 (0),1 (0),1 (0),
Region,0 (0),,,,,
"","Internationalconveyance (Japan)",64** (0),0 (0),0 (0),64 (0),
Other,,,,,,
0 (0),,,,,,
"",,,,,,
