Province/Region/City,Confirmed Cases
Hubei,22 112
Zhejiang,1006
Guangdong,1018
Henan,914
Hunan,772
Anhui,665
Jiangxi,661
Chongqing,411
Jiangsu,408
Sichuan,344
Shandong,379
Beijing,297
Shanghai,269
Fujian,224
Heilongjiang,277
Shaanxi,184
Guangxi,172
Hebei,171
Yunnan,135
Hainan,111
Shanxi,96
Liaoning,94
Tianjin,79
Guizhou,77
Gansu,70
Jilin,65
Inner Mongolia,49
Ningxia,43
Xinjiang,39
Hong Kong SAR,24
Qinghai,18
Taipei and environs,16
Macao SAR,10
Xizang,1
Total,31 211
"",,,Total,,,
"",,,,Total (new) cases,Total (new),
"",,,(new),,,
"",,,,with    possible,cases with site,
"",,Confirmed*,cases with,Total (new),,
WHO Region,Country/Territory/Area,or confirmed,of transmission,,,
"",,(new) cases,travel,deaths,,
"",,transmission,under,,,
"",,,history to,,,
"",,,,outside of China†,investigation,
"",,,China,,,
"",,,,,,
"",China‡,31 211 (3151),,,,637 (73)
"",Singapore,30 (2),21 (0),9 (2),0 (0),0 (0)
Western Pacific Region,,,,,,
"",Japan,25 (0),21 (0),4 (0),0 (0),0 (0)
"",,,,,,
"",Republic of Korea,24 (1),11 (1),11 (0),2 (0),0 (0)
"",Australia,15 (1),15 (1),0 (0),0 (0),0 (0)
"",Malaysia,14 (2),9 (0),4 (1),1 (1),0 (0)
"",,,,,,
"",Viet Nam,12 (2),7 (0),5 (2),0 (0),0 (0)
"",,,,,,
"",Philippines,3 (0),2 (0),0 (0),1 (0),1 (0)
"",,,,,,
"",Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0)
"",Thailand,25 (0),21 (0),4 (0),0 (0),0 (0)
"",India,3 (0),3 (0),0 (0),0 (0),0 (0)
South-East Asia Region,,,,,,
"",Nepal,1 (0),1 (0),0 (0),0 (0),0 (0)
"",,,,,,
"",Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0)
"","United States ofAmerica",12 (0),10 (0),2 (0),0 (0),
Region of the Americas,0 (0),,,,,
"",Canada,7 (2),6 (2),0 (0),1 (0),0 (0)
"",Germany,13 (1),2 (0),11 (1),0 (0),0 (0)
"",France,6 (0),5 (0),1 (0),0 (0),0 (0)
"",Italy,3 (1),3 (1),0 (0),0 (0),0 (0)
"",The United Kingdom,3 (1),1 (0),2 (1***),0 (0),0 (0)
European Region,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0)
"",Belgium,1 (0),1 (0),0 (0),0 (0),0 (0)
"",Finland,1 (0),1 (0),0 (0),0 (0),0 (0)
"",Spain,1 (0),0 (0),1§ (0),0 (0),0 (0)
"",Sweden,1 (0),1 (0),0 (0),0 (0),0 (0)
Eastern Mediterranean,United Arab Emirates,5 (0),5 (0),0 (0),0 (0),
Region,0 (0),,,,,
"","Internationalconveyance (Japan)",61** (41),0 (0),0 (0),61 (41),
Other,,,,,,
0 (0),,,,,,
"",,,,,,
